Transcript stable ID	RefSeq mRNA ID
ENSCAFT00000065526	
ENSCAFT00000067454	
ENSCAFT00000081360	
ENSCAFT00000057267	
ENSCAFT00000059216	
ENSCAFT00000005140	
ENSCAFT00000005148	
ENSCAFT00000005165	
ENSCAFT00000005182	
ENSCAFT00000005195	
ENSCAFT00000041198	
ENSCAFT00000005215	
ENSCAFT00000049635	
ENSCAFT00000005221	
ENSCAFT00000060457	
ENSCAFT00000005223	
ENSCAFT00000005246	
ENSCAFT00000065224	
ENSCAFT00000005257	
ENSCAFT00000074730	
ENSCAFT00000050048	
ENSCAFT00000005262	NM_001130838
ENSCAFT00000072711	
ENSCAFT00000078068	
ENSCAFT00000070935	
ENSCAFT00000067685	
ENSCAFT00000086315	
ENSCAFT00000074252	
ENSCAFT00000007319	
ENSCAFT00000085680	
ENSCAFT00000055921	
ENSCAFT00000058158	
ENSCAFT00000046738	
ENSCAFT00000069494	
ENSCAFT00000067663	
ENSCAFT00000079459	
ENSCAFT00000009212	
ENSCAFT00000073123	
ENSCAFT00000081595	
ENSCAFT00000082490	
ENSCAFT00000050789	
ENSCAFT00000063586	
ENSCAFT00000067073	
ENSCAFT00000005658	
ENSCAFT00000074499	
ENSCAFT00000077693	
ENSCAFT00000081232	
ENSCAFT00000069327	
ENSCAFT00000062846	
ENSCAFT00000074475	
ENSCAFT00000086665	
ENSCAFT00000068248	
ENSCAFT00000060187	
ENSCAFT00000084765	
ENSCAFT00000056532	
ENSCAFT00000091530	
ENSCAFT00000051979	
ENSCAFT00000061170	
ENSCAFT00000081454	
ENSCAFT00000054614	
ENSCAFT00000085468	
ENSCAFT00000053197	
ENSCAFT00000070072	
ENSCAFT00000057519	
ENSCAFT00000040672	
ENSCAFT00000068861	
ENSCAFT00000091096	
ENSCAFT00000066342	
ENSCAFT00000071216	
ENSCAFT00000080040	
ENSCAFT00000077408	
ENSCAFT00000061459	
ENSCAFT00000093189	
ENSCAFT00000065529	
ENSCAFT00000064914	
ENSCAFT00000083302	
ENSCAFT00000036373	
ENSCAFT00000064804	
ENSCAFT00000045655	
ENSCAFT00000042136	
ENSCAFT00000062923	
ENSCAFT00000059551	
ENSCAFT00000082504	
ENSCAFT00000061960	
ENSCAFT00000070569	
ENSCAFT00000084699	
ENSCAFT00000069056	
ENSCAFT00000047749	
ENSCAFT00000086462	
ENSCAFT00000074847	
ENSCAFT00000076629	
ENSCAFT00000081093	
ENSCAFT00000092697	
ENSCAFT00000072205	
ENSCAFT00000013000	
ENSCAFT00000077103	
ENSCAFT00000048690	
ENSCAFT00000009215	
ENSCAFT00000072317	
ENSCAFT00000093053	
ENSCAFT00000087390	
ENSCAFT00000059627	
ENSCAFT00000093621	
ENSCAFT00000075371	
ENSCAFT00000075956	
ENSCAFT00000082665	
ENSCAFT00000059113	
ENSCAFT00000050176	
ENSCAFT00000043748	
ENSCAFT00000011050	
ENSCAFT00000042387	
ENSCAFT00000085233	
ENSCAFT00000078529	
ENSCAFT00000054574	
ENSCAFT00000049792	
ENSCAFT00000054179	
ENSCAFT00000061943	
ENSCAFT00000091152	
ENSCAFT00000061028	
ENSCAFT00000078945	
ENSCAFT00000075788	
ENSCAFT00000078823	
ENSCAFT00000081895	
ENSCAFT00000053497	
ENSCAFT00000059164	
ENSCAFT00000052046	
ENSCAFT00000076993	
ENSCAFT00000052218	
ENSCAFT00000063238	
ENSCAFT00000074694	
ENSCAFT00000013338	
ENSCAFT00000010038	
ENSCAFT00000007322	
ENSCAFT00000090338	
ENSCAFT00000035159	
ENSCAFT00000045742	NM_001017516
ENSCAFT00000074816	
ENSCAFT00000086405	
ENSCAFT00000037857	
ENSCAFT00000068947	
ENSCAFT00000083352	
ENSCAFT00000054810	
ENSCAFT00000074239	
ENSCAFT00000081413	
ENSCAFT00000063302	
ENSCAFT00000072809	
ENSCAFT00000009067	
ENSCAFT00000087690	
ENSCAFT00000082755	
ENSCAFT00000079972	
ENSCAFT00000062023	
ENSCAFT00000032873	
ENSCAFT00000012369	
ENSCAFT00000053610	
ENSCAFT00000052175	
ENSCAFT00000087063	
ENSCAFT00000072853	
ENSCAFT00000022594	
ENSCAFT00000067519	
ENSCAFT00000005659	
ENSCAFT00000007758	
ENSCAFT00000009043	
ENSCAFT00000017134	NM_001313781
ENSCAFT00000071421	
ENSCAFT00000076980	
ENSCAFT00000059279	
ENSCAFT00000058219	
ENSCAFT00000049629	
ENSCAFT00000010042	
ENSCAFT00000012749	
ENSCAFT00000015081	
ENSCAFT00000006347	
ENSCAFT00000006294	
ENSCAFT00000089492	
ENSCAFT00000045349	
ENSCAFT00000042488	
ENSCAFT00000049069	
ENSCAFT00000048331	
ENSCAFT00000067603	
ENSCAFT00000088147	
ENSCAFT00000078633	
ENSCAFT00000058439	
ENSCAFT00000061874	
ENSCAFT00000078136	
ENSCAFT00000090095	
ENSCAFT00000086657	
ENSCAFT00000064200	
ENSCAFT00000080564	
ENSCAFT00000066688	
ENSCAFT00000087041	
ENSCAFT00000075402	
ENSCAFT00000053148	
ENSCAFT00000050328	
ENSCAFT00000069453	
ENSCAFT00000070627	
ENSCAFT00000051135	
ENSCAFT00000091356	
ENSCAFT00000077320	
ENSCAFT00000080352	
ENSCAFT00000039858	
ENSCAFT00000043601	
ENSCAFT00000033661	
ENSCAFT00000015028	
ENSCAFT00000013360	
ENSCAFT00000075323	
ENSCAFT00000009990	
ENSCAFT00000059498	
ENSCAFT00000069895	
ENSCAFT00000080708	
ENSCAFT00000078821	
ENSCAFT00000019122	
ENSCAFT00000011176	
ENSCAFT00000012753	
ENSCAFT00000030504	
ENSCAFT00000009222	
ENSCAFT00000076334	
ENSCAFT00000068396	
ENSCAFT00000017237	
ENSCAFT00000085898	
ENSCAFT00000047418	
ENSCAFT00000092742	
ENSCAFT00000078512	
ENSCAFT00000048968	
ENSCAFT00000066278	
ENSCAFT00000018045	
ENSCAFT00000044054	
ENSCAFT00000071662	
ENSCAFT00000044766	
ENSCAFT00000074501	
ENSCAFT00000020605	
ENSCAFT00000065826	
ENSCAFT00000005664	
ENSCAFT00000012757	
ENSCAFT00000087628	
ENSCAFT00000010039	
ENSCAFT00000044236	NM_001161710
ENSCAFT00000093132	
ENSCAFT00000021198	
ENSCAFT00000007761	
ENSCAFT00000009076	
ENSCAFT00000008057	
ENSCAFT00000071180	
ENSCAFT00000013019	
ENSCAFT00000091515	
ENSCAFT00000085931	
ENSCAFT00000068025	
ENSCAFT00000007329	
ENSCAFT00000050129	
ENSCAFT00000066456	
ENSCAFT00000043653	
ENSCAFT00000060403	
ENSCAFT00000009682	
ENSCAFT00000070234	
ENSCAFT00000091601	
ENSCAFT00000013198	
ENSCAFT00000075784	
ENSCAFT00000010177	
ENSCAFT00000078145	
ENSCAFT00000077064	
ENSCAFT00000010044	
ENSCAFT00000012740	
ENSCAFT00000047542	
ENSCAFT00000006287	
ENSCAFT00000081460	
ENSCAFT00000044092	
ENSCAFT00000012759	
ENSCAFT00000088826	
ENSCAFT00000018353	
ENSCAFT00000089387	NM_001242732
ENSCAFT00000062323	
ENSCAFT00000012644	
ENSCAFT00000043676	
ENSCAFT00000007625	
ENSCAFT00000022409	
ENSCAFT00000044301	
ENSCAFT00000013058	
ENSCAFT00000076833	
ENSCAFT00000039350	NM_001003314
ENSCAFT00000066976	
ENSCAFT00000007773	
ENSCAFT00000089311	
ENSCAFT00000072719	
ENSCAFT00000060846	
ENSCAFT00000012775	
ENSCAFT00000009971	
ENSCAFT00000090987	
ENSCAFT00000012672	
ENSCAFT00000089493	
ENSCAFT00000067873	
ENSCAFT00000052699	
ENSCAFT00000019184	
ENSCAFT00000011182	
ENSCAFT00000060091	
ENSCAFT00000066271	
ENSCAFT00000073813	
ENSCAFT00000093537	
ENSCAFT00000079624	
ENSCAFT00000079813	
ENSCAFT00000076541	
ENSCAFT00000069019	
ENSCAFT00000082916	
ENSCAFT00000007777	
ENSCAFT00000071734	
ENSCAFT00000030508	
ENSCAFT00000084285	
ENSCAFT00000083025	
ENSCAFT00000066748	
ENSCAFT00000012764	
ENSCAFT00000025276	
ENSCAFT00000034193	
ENSCAFT00000091950	
ENSCAFT00000015105	
ENSCAFT00000010003	
ENSCAFT00000022417	
ENSCAFT00000062401	
ENSCAFT00000093633	
ENSCAFT00000084030	
ENSCAFT00000044773	
ENSCAFT00000090974	
ENSCAFT00000074805	
ENSCAFT00000065376	
ENSCAFT00000068162	
ENSCAFT00000022905	
ENSCAFT00000084929	
ENSCAFT00000066743	
ENSCAFT00000022420	
ENSCAFT00000068653	
ENSCAFT00000073623	
ENSCAFT00000039053	
ENSCAFT00000085118	
ENSCAFT00000017835	
ENSCAFT00000018359	
ENSCAFT00000076837	
ENSCAFT00000082988	
ENSCAFT00000088537	
ENSCAFT00000079381	
ENSCAFT00000081671	
ENSCAFT00000013387	
ENSCAFT00000083917	
ENSCAFT00000043457	NM_001048035
ENSCAFT00000010047	
ENSCAFT00000084170	
ENSCAFT00000070357	
ENSCAFT00000092074	
ENSCAFT00000065315	
ENSCAFT00000015065	
ENSCAFT00000080006	
ENSCAFT00000066147	
ENSCAFT00000067046	
ENSCAFT00000012785	
ENSCAFT00000009095	
ENSCAFT00000021353	
ENSCAFT00000089101	
ENSCAFT00000078132	
ENSCAFT00000062171	
ENSCAFT00000010048	
ENSCAFT00000030513	
ENSCAFT00000077838	
ENSCAFT00000044742	
ENSCAFT00000049887	
ENSCAFT00000086930	
ENSCAFT00000092286	
ENSCAFT00000018074	
ENSCAFT00000012790	
ENSCAFT00000082278	
ENSCAFT00000049759	
ENSCAFT00000022422	
ENSCAFT00000082644	
ENSCAFT00000078708	
ENSCAFT00000066677	
ENSCAFT00000063343	
ENSCAFT00000092565	
ENSCAFT00000089193	
ENSCAFT00000079991	
ENSCAFT00000015752	
ENSCAFT00000049818	
ENSCAFT00000083292	
ENSCAFT00000076244	
ENSCAFT00000087631	
ENSCAFT00000064112	
ENSCAFT00000086793	
ENSCAFT00000092438	
ENSCAFT00000072006	
ENSCAFT00000020640	
ENSCAFT00000084340	
ENSCAFT00000072577	
ENSCAFT00000012792	
ENSCAFT00000076331	
ENSCAFT00000013011	NM_001012619
ENSCAFT00000073092	
ENSCAFT00000022766	
ENSCAFT00000012778	
ENSCAFT00000066335	
ENSCAFT00000007799	
ENSCAFT00000009102	
ENSCAFT00000086435	
ENSCAFT00000064057	
ENSCAFT00000076405	
ENSCAFT00000083925	
ENSCAFT00000009715	
ENSCAFT00000063908	
ENSCAFT00000072249	
ENSCAFT00000062144	
ENSCAFT00000073687	
ENSCAFT00000018079	
ENSCAFT00000047864	
ENSCAFT00000044669	
ENSCAFT00000012794	
ENSCAFT00000049176	
ENSCAFT00000063334	
ENSCAFT00000025271	
ENSCAFT00000046066	
ENSCAFT00000016136	
ENSCAFT00000007247	
ENSCAFT00000084831	
ENSCAFT00000082518	
ENSCAFT00000050037	
ENSCAFT00000077374	
ENSCAFT00000080363	
ENSCAFT00000066226	
ENSCAFT00000012942	
ENSCAFT00000009554	
ENSCAFT00000008072	
ENSCAFT00000071067	
ENSCAFT00000078326	
ENSCAFT00000009743	
ENSCAFT00000022445	
ENSCAFT00000086455	
ENSCAFT00000042336	
ENSCAFT00000015756	
ENSCAFT00000025291	
ENSCAFT00000073881	
ENSCAFT00000064658	
ENSCAFT00000045579	
ENSCAFT00000006311	
ENSCAFT00000046902	
ENSCAFT00000078138	
ENSCAFT00000072562	
ENSCAFT00000090141	
ENSCAFT00000042920	
ENSCAFT00000079742	
ENSCAFT00000090935	
ENSCAFT00000085355	
ENSCAFT00000017305	
ENSCAFT00000092202	
ENSCAFT00000082351	
ENSCAFT00000084909	
ENSCAFT00000058349	
ENSCAFT00000073216	
ENSCAFT00000015761	NM_001048092
ENSCAFT00000079536	
ENSCAFT00000076363	
ENSCAFT00000081318	
ENSCAFT00000015091	
ENSCAFT00000083198	
ENSCAFT00000081916	
ENSCAFT00000006363	
ENSCAFT00000092461	
ENSCAFT00000043286	
ENSCAFT00000061653	
ENSCAFT00000066871	
ENSCAFT00000092996	
ENSCAFT00000089866	
ENSCAFT00000073675	
ENSCAFT00000062155	
ENSCAFT00000092167	
ENSCAFT00000009975	
ENSCAFT00000059626	
ENSCAFT00000007827	
ENSCAFT00000048789	
ENSCAFT00000087192	
ENSCAFT00000038253	
ENSCAFT00000083267	
ENSCAFT00000091174	
ENSCAFT00000017392	
ENSCAFT00000084540	
ENSCAFT00000092566	
ENSCAFT00000013441	
ENSCAFT00000068767	
ENSCAFT00000012962	
ENSCAFT00000059277	
ENSCAFT00000012798	
ENSCAFT00000069050	
ENSCAFT00000015119	
ENSCAFT00000047536	
ENSCAFT00000082629	
ENSCAFT00000038926	
ENSCAFT00000009749	
ENSCAFT00000087506	
ENSCAFT00000054546	
ENSCAFT00000081764	
ENSCAFT00000067528	
ENSCAFT00000074984	
ENSCAFT00000086719	
ENSCAFT00000091070	
ENSCAFT00000059373	
ENSCAFT00000084257	
ENSCAFT00000065683	
ENSCAFT00000088810	
ENSCAFT00000059541	
ENSCAFT00000054072	
ENSCAFT00000064526	
ENSCAFT00000055448	
ENSCAFT00000075124	
ENSCAFT00000084658	
ENSCAFT00000007832	
ENSCAFT00000089645	
ENSCAFT00000022777	
ENSCAFT00000042212	
ENSCAFT00000065773	
ENSCAFT00000018124	
ENSCAFT00000089228	
ENSCAFT00000006341	
ENSCAFT00000015132	
ENSCAFT00000010290	
ENSCAFT00000077805	
ENSCAFT00000060431	
ENSCAFT00000068804	
ENSCAFT00000070583	
ENSCAFT00000093204	
ENSCAFT00000041193	
ENSCAFT00000060505	
ENSCAFT00000082966	
ENSCAFT00000092591	
ENSCAFT00000013447	
ENSCAFT00000090019	
ENSCAFT00000078050	
ENSCAFT00000038928	NM_001308463
ENSCAFT00000038928	NM_001025619
ENSCAFT00000093074	
ENSCAFT00000015797	
ENSCAFT00000066311	
ENSCAFT00000082295	
ENSCAFT00000068117	
ENSCAFT00000093870	
ENSCAFT00000070994	
ENSCAFT00000010325	
ENSCAFT00000090420	
ENSCAFT00000012802	
ENSCAFT00000022790	
ENSCAFT00000087054	
ENSCAFT00000091709	
ENSCAFT00000089667	
ENSCAFT00000080003	
ENSCAFT00000045412	
ENSCAFT00000075007	
ENSCAFT00000085896	
ENSCAFT00000017424	
ENSCAFT00000066850	
ENSCAFT00000038492	
ENSCAFT00000040458	
ENSCAFT00000033558	
ENSCAFT00000071330	
ENSCAFT00000090632	
ENSCAFT00000078617	
ENSCAFT00000017253	
ENSCAFT00000084725	
ENSCAFT00000075884	
ENSCAFT00000007022	
ENSCAFT00000015162	
ENSCAFT00000071198	
ENSCAFT00000012976	
ENSCAFT00000047756	
ENSCAFT00000088580	
ENSCAFT00000017340	
ENSCAFT00000082334	
ENSCAFT00000036176	
ENSCAFT00000022794	NM_001205203
ENSCAFT00000082625	
ENSCAFT00000073415	
ENSCAFT00000082893	
ENSCAFT00000017346	
ENSCAFT00000089202	
ENSCAFT00000087936	NM_001313813
ENSCAFT00000082276	
ENSCAFT00000006315	
ENSCAFT00000075589	
ENSCAFT00000087302	
ENSCAFT00000064836	
ENSCAFT00000075858	
ENSCAFT00000015167	
ENSCAFT00000012989	
ENSCAFT00000040338	
ENSCAFT00000009756	
ENSCAFT00000013905	
ENSCAFT00000077019	
ENSCAFT00000090169	NM_001109956
ENSCAFT00000066378	
ENSCAFT00000092754	
ENSCAFT00000048788	
ENSCAFT00000079844	
ENSCAFT00000087262	
ENSCAFT00000013044	
ENSCAFT00000015182	
ENSCAFT00000091439	
ENSCAFT00000068648	
ENSCAFT00000085170	
ENSCAFT00000022831	
ENSCAFT00000013013	
ENSCAFT00000010318	
ENSCAFT00000065214	
ENSCAFT00000079457	
ENSCAFT00000088808	
ENSCAFT00000068412	
ENSCAFT00000013907	
ENSCAFT00000009280	
ENSCAFT00000071383	
ENSCAFT00000009286	
ENSCAFT00000013913	
ENSCAFT00000062751	
ENSCAFT00000074841	
ENSCAFT00000082352	
ENSCAFT00000069744	
ENSCAFT00000044746	
ENSCAFT00000080796	
ENSCAFT00000070969	
ENSCAFT00000082871	
ENSCAFT00000010349	
ENSCAFT00000079946	
ENSCAFT00000080225	
ENSCAFT00000066356	
ENSCAFT00000073548	
ENSCAFT00000072035	
ENSCAFT00000046943	
ENSCAFT00000022448	
ENSCAFT00000012797	
ENSCAFT00000013069	
ENSCAFT00000018129	
ENSCAFT00000006368	
ENSCAFT00000048363	
ENSCAFT00000030514	
ENSCAFT00000013506	
ENSCAFT00000046718	
ENSCAFT00000009301	
ENSCAFT00000035819	
ENSCAFT00000007370	
ENSCAFT00000092729	
ENSCAFT00000035593	
ENSCAFT00000050172	
ENSCAFT00000048799	
ENSCAFT00000093461	
ENSCAFT00000022858	
ENSCAFT00000018398	
ENSCAFT00000012283	
ENSCAFT00000005670	
ENSCAFT00000093638	
ENSCAFT00000075334	
ENSCAFT00000012805	
ENSCAFT00000043991	
ENSCAFT00000010471	
ENSCAFT00000006344	
ENSCAFT00000014833	
ENSCAFT00000013072	
ENSCAFT00000009790	
ENSCAFT00000044415	
ENSCAFT00000085965	
ENSCAFT00000070667	
ENSCAFT00000013014	
ENSCAFT00000013333	
ENSCAFT00000010009	
ENSCAFT00000010055	
ENSCAFT00000084842	
ENSCAFT00000064827	
ENSCAFT00000061809	
ENSCAFT00000007264	
ENSCAFT00000015643	
ENSCAFT00000065844	
ENSCAFT00000043590	
ENSCAFT00000077041	
ENSCAFT00000007373	
ENSCAFT00000006372	
ENSCAFT00000005672	
ENSCAFT00000009993	
ENSCAFT00000084157	
ENSCAFT00000051107	
ENSCAFT00000065187	
ENSCAFT00000040227	
ENSCAFT00000088224	
ENSCAFT00000074224	
ENSCAFT00000073908	
ENSCAFT00000047600	
ENSCAFT00000063968	
ENSCAFT00000084188	
ENSCAFT00000092263	
ENSCAFT00000069599	
ENSCAFT00000060208	
ENSCAFT00000080582	
ENSCAFT00000022459	
ENSCAFT00000083002	
ENSCAFT00000021380	
ENSCAFT00000007041	
ENSCAFT00000013083	
ENSCAFT00000012819	
ENSCAFT00000085702	
ENSCAFT00000077811	
ENSCAFT00000046948	
ENSCAFT00000041579	
ENSCAFT00000055074	
ENSCAFT00000070976	
ENSCAFT00000088574	
ENSCAFT00000063347	
ENSCAFT00000058790	
ENSCAFT00000008092	
ENSCAFT00000093509	
ENSCAFT00000079932	
ENSCAFT00000078686	
ENSCAFT00000057835	
ENSCAFT00000007379	
ENSCAFT00000073337	
ENSCAFT00000075574	
ENSCAFT00000062111	
ENSCAFT00000086656	
ENSCAFT00000073043	
ENSCAFT00000089195	
ENSCAFT00000017203	
ENSCAFT00000083003	
ENSCAFT00000086450	
ENSCAFT00000077739	
ENSCAFT00000088839	
ENSCAFT00000075074	
ENSCAFT00000075717	
ENSCAFT00000056063	
ENSCAFT00000037947	
ENSCAFT00000067368	
ENSCAFT00000005674	
ENSCAFT00000077449	
ENSCAFT00000073318	
ENSCAFT00000082782	
ENSCAFT00000006352	
ENSCAFT00000081332	
ENSCAFT00000090884	
ENSCAFT00000034042	
ENSCAFT00000059318	
ENSCAFT00000037336	
ENSCAFT00000012285	
ENSCAFT00000010018	
ENSCAFT00000043064	
ENSCAFT00000038777	
ENSCAFT00000092160	
ENSCAFT00000022887	
ENSCAFT00000005679	NM_001080723
ENSCAFT00000080627	
ENSCAFT00000087787	
ENSCAFT00000077348	
ENSCAFT00000093457	
ENSCAFT00000071072	
ENSCAFT00000049698	
ENSCAFT00000059828	
ENSCAFT00000084680	
ENSCAFT00000076283	
ENSCAFT00000068628	
ENSCAFT00000085393	
ENSCAFT00000061067	
ENSCAFT00000075340	
ENSCAFT00000047158	
ENSCAFT00000005276	
ENSCAFT00000046081	
ENSCAFT00000037334	
ENSCAFT00000073226	
ENSCAFT00000091736	
ENSCAFT00000042735	
ENSCAFT00000008096	
ENSCAFT00000083798	
ENSCAFT00000048381	
ENSCAFT00000047592	
ENSCAFT00000080057	
ENSCAFT00000006378	
ENSCAFT00000045791	
ENSCAFT00000068551	
ENSCAFT00000066849	
ENSCAFT00000009609	
ENSCAFT00000038426	
ENSCAFT00000072219	
ENSCAFT00000071560	
ENSCAFT00000037330	
ENSCAFT00000066123	
ENSCAFT00000064634	
ENSCAFT00000072759	
ENSCAFT00000071346	
ENSCAFT00000079978	
ENSCAFT00000085472	
ENSCAFT00000048791	
ENSCAFT00000058987	
ENSCAFT00000075254	
ENSCAFT00000077024	
ENSCAFT00000034460	
ENSCAFT00000037784	
ENSCAFT00000013341	
ENSCAFT00000052996	
ENSCAFT00000076639	
ENSCAFT00000006327	
ENSCAFT00000016193	
ENSCAFT00000088730	
ENSCAFT00000070430	
ENSCAFT00000086980	
ENSCAFT00000005283	
ENSCAFT00000009798	
ENSCAFT00000018592	
ENSCAFT00000081198	
ENSCAFT00000084422	
ENSCAFT00000066281	
ENSCAFT00000086922	
ENSCAFT00000047311	
ENSCAFT00000033563	
ENSCAFT00000062472	
ENSCAFT00000070052	
ENSCAFT00000080066	
ENSCAFT00000012836	
ENSCAFT00000010473	
ENSCAFT00000010037	
ENSCAFT00000009997	
ENSCAFT00000006355	
ENSCAFT00000090216	
ENSCAFT00000073487	
ENSCAFT00000047759	
ENSCAFT00000067980	
ENSCAFT00000013543	
ENSCAFT00000045961	
ENSCAFT00000012850	
ENSCAFT00000049299	
ENSCAFT00000093652	
ENSCAFT00000089912	
ENSCAFT00000007289	
ENSCAFT00000077612	
ENSCAFT00000009800	
ENSCAFT00000079489	
ENSCAFT00000006323	
ENSCAFT00000013123	
ENSCAFT00000066538	
ENSCAFT00000037416	
ENSCAFT00000022946	
ENSCAFT00000039639	NM_001003303
ENSCAFT00000033448	
ENSCAFT00000052558	
ENSCAFT00000077499	
ENSCAFT00000093627	
ENSCAFT00000066933	
ENSCAFT00000083501	
ENSCAFT00000007673	
ENSCAFT00000083120	
ENSCAFT00000070781	
ENSCAFT00000047548	
ENSCAFT00000017376	
ENSCAFT00000015444	
ENSCAFT00000074455	
ENSCAFT00000083806	
ENSCAFT00000010058	
ENSCAFT00000047497	
ENSCAFT00000010363	
ENSCAFT00000074844	
ENSCAFT00000017428	
ENSCAFT00000025337	
ENSCAFT00000022960	
ENSCAFT00000088456	
ENSCAFT00000085281	
ENSCAFT00000080012	
ENSCAFT00000007856	
ENSCAFT00000012844	
ENSCAFT00000083783	
ENSCAFT00000071416	
ENSCAFT00000087735	
ENSCAFT00000045587	
ENSCAFT00000038938	
ENSCAFT00000009807	
ENSCAFT00000021382	
ENSCAFT00000091500	
ENSCAFT00000073166	
ENSCAFT00000036722	NM_001031636
ENSCAFT00000066038	
ENSCAFT00000015826	
ENSCAFT00000082805	
ENSCAFT00000005285	
ENSCAFT00000013410	
ENSCAFT00000007062	
ENSCAFT00000080705	
ENSCAFT00000092757	
ENSCAFT00000070147	
ENSCAFT00000069641	
ENSCAFT00000059514	
ENSCAFT00000073698	
ENSCAFT00000089639	
ENSCAFT00000081712	
ENSCAFT00000079153	
ENSCAFT00000062474	
ENSCAFT00000074382	
ENSCAFT00000085400	
ENSCAFT00000080167	
ENSCAFT00000089596	
ENSCAFT00000060414	
ENSCAFT00000065864	
ENSCAFT00000092845	
ENSCAFT00000007384	
ENSCAFT00000068659	
ENSCAFT00000061054	
ENSCAFT00000043444	
ENSCAFT00000017435	
ENSCAFT00000063909	
ENSCAFT00000010379	
ENSCAFT00000072477	
ENSCAFT00000036724	
ENSCAFT00000042934	
ENSCAFT00000007063	
ENSCAFT00000065605	
ENSCAFT00000085866	
ENSCAFT00000064156	
ENSCAFT00000006366	
ENSCAFT00000021678	
ENSCAFT00000077091	
ENSCAFT00000085030	NM_001205190
ENSCAFT00000009809	
ENSCAFT00000022468	
ENSCAFT00000035089	
ENSCAFT00000048211	
ENSCAFT00000045139	
ENSCAFT00000038240	
ENSCAFT00000077280	
ENSCAFT00000035330	
ENSCAFT00000013936	
ENSCAFT00000039521	
