enst_id	ensp_id	ensembl_protein_length	ccds_id	biomart_uniprot_id	uniprot_id_with_isoform	is_matched	final_uniprot_id
ENSCAFT00000000040	ENSCAFP00000000037	473.0	CCDS54190			True	
ENSCAFT00000000040	ENSCAFP00000000037	473.0	CCDS12006			True	
ENSCAFT00000000043	ENSCAFP00000000040	499.0	CCDS42445			True	
ENSCAFT00000000043	ENSCAFP00000000040	499.0				True	
ENSCAFT00000000044			CCDS54188			True	
ENSCAFT00000000044			CCDS12005			True	
ENSCAFT00000000044			CCDS12004			True	
ENSCAFT00000000044						True	
ENSCAFT00000000045	ENSCAFP00000000042	116.0				True	
ENSCAFT00000000046	ENSCAFP00000000043	251.0	CCDS12003			True	
ENSCAFT00000000046	ENSCAFP00000000043	251.0				True	
ENSCAFT00000000047	ENSCAFP00000000044	512.0	CCDS45884			True	
ENSCAFT00000000047	ENSCAFP00000000044	512.0				True	
ENSCAFT00000000048						True	
ENSCAFT00000000049	ENSCAFP00000000045	533.0				True	
ENSCAFT00000000049	ENSCAFP00000000045	533.0	CCDS42444			True	
ENSCAFT00000000049	ENSCAFP00000000045	533.0	CCDS12000			True	
ENSCAFT00000000050			CCDS11999			True	
ENSCAFT00000000050						True	
ENSCAFT00000000051	ENSCAFP00000071927	196.0				True	
ENSCAFT00000000052	ENSCAFP00000060571	195.0	CCDS1323			True	
ENSCAFT00000000052	ENSCAFP00000060571	195.0				True	
ENSCAFT00000000052	ENSCAFP00000060571	195.0	CCDS53434			True	
ENSCAFT00000000052	ENSCAFP00000060571	195.0	CCDS53433			True	
ENSCAFT00000000054	ENSCAFP00000043038	535.0	CCDS11998			True	
ENSCAFT00000000054	ENSCAFP00000043038	535.0				True	
ENSCAFT00000000055	ENSCAFP00000000048	2228.0	CCDS42443			True	
ENSCAFT00000000055	ENSCAFP00000000048	2228.0				True	
ENSCAFT00000000056	ENSCAFP00000000049	320.0	CCDS11997			True	
ENSCAFT00000000056	ENSCAFP00000000049	320.0				True	
ENSCAFT00000000056	ENSCAFP00000000049	320.0	CCDS77197			True	
ENSCAFT00000000060	ENSCAFP00000000053	445.0	CCDS11996			True	
ENSCAFT00000000060	ENSCAFP00000000053	445.0				True	
ENSCAFT00000000062	ENSCAFP00000044834	103.0				True	
ENSCAFT00000000063	ENSCAFP00000000054	515.0				True	
ENSCAFT00000000063	ENSCAFP00000000054	515.0	CCDS86679			True	
ENSCAFT00000000063	ENSCAFP00000000054	515.0	CCDS86680			True	
ENSCAFT00000000063	ENSCAFP00000000054	515.0	CCDS32840			True	
ENSCAFT00000000064	ENSCAFP00000063860	362.0	CCDS2026			True	
ENSCAFT00000000064	ENSCAFP00000063860	362.0				True	
ENSCAFT00000000064	ENSCAFP00000063860	362.0	CCDS2025			True	
ENSCAFT00000000065	ENSCAFP00000037528	172.0				True	
ENSCAFT00000000067						True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0	CCDS47106			True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0	CCDS43253			True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0	CCDS47108			True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0	CCDS47107			True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0	CCDS47105			True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0				True	
ENSCAFT00000000070	ENSCAFP00000061843	556.0	CCDS43254			True	
ENSCAFT00000000071						True	
ENSCAFT00000000073	ENSCAFP00000046115	69.0				True	
ENSCAFT00000000075	ENSCAFP00000000059	770.0	CCDS59325			True	
ENSCAFT00000000075	ENSCAFP00000000059	770.0				True	
ENSCAFT00000000075	ENSCAFP00000000059	770.0	CCDS11994			True	
ENSCAFT00000000076	ENSCAFP00000000060	868.0				True	
ENSCAFT00000000076	ENSCAFP00000000060	868.0	CCDS11993			True	
ENSCAFT00000000076	ENSCAFP00000000060	868.0	CCDS82259			True	
ENSCAFT00000000078	ENSCAFP00000000062	374.0				True	
ENSCAFT00000000078	ENSCAFP00000000062	374.0	CCDS11991			True	
ENSCAFT00000000078	ENSCAFP00000000062	374.0	CCDS42442			True	
ENSCAFT00000000078	ENSCAFP00000000062	374.0	CCDS62460			True	
ENSCAFT00000000078	ENSCAFP00000000062	374.0	CCDS86678			True	
ENSCAFT00000000079	ENSCAFP00000000063	380.0	CCDS58633			True	
ENSCAFT00000000079	ENSCAFP00000000063	380.0	CCDS11988			True	
ENSCAFT00000000079	ENSCAFP00000000063	380.0				True	
ENSCAFT00000000080	ENSCAFP00000000064	397.0	CCDS11990			True	
ENSCAFT00000000080	ENSCAFP00000000064	397.0				True	
ENSCAFT00000000083	ENSCAFP00000000067	416.0				True	
ENSCAFT00000000083	ENSCAFP00000000067	416.0	CCDS11989			True	
ENSCAFT00000000084	ENSCAFP00000000068	376.0	CCDS77196			True	
ENSCAFT00000000084	ENSCAFP00000000068	376.0				True	
ENSCAFT00000000087	ENSCAFP00000000071	433.0	CCDS11985			True	
ENSCAFT00000000087	ENSCAFP00000000071	433.0				True	
ENSCAFT00000000087	ENSCAFP00000000071	433.0	CCDS77195			True	
ENSCAFT00000000088	ENSCAFP00000000072	423.0				True	
ENSCAFT00000000088	ENSCAFP00000000072	423.0	CCDS77194			True	
ENSCAFT00000000088	ENSCAFP00000000072	423.0	CCDS11984			True	
ENSCAFT00000000089	ENSCAFP00000000073	1118.0				True	
ENSCAFT00000000090	ENSCAFP00000000074	1181.0				True	
ENSCAFT00000000098						True	
ENSCAFT00000000100	ENSCAFP00000000084	372.0				True	
ENSCAFT00000000104	ENSCAFP00000000088	211.0				True	
ENSCAFT00000000107	ENSCAFP00000000091	389.0	CCDS11986			True	
ENSCAFT00000000107	ENSCAFP00000000091	389.0				True	
ENSCAFT00000000107	ENSCAFP00000000091	389.0				True	
ENSCAFT00000000107	ENSCAFP00000000091	389.0	CCDS11987			True	
ENSCAFT00000000112	ENSCAFP00000000096	238.0				True	
ENSCAFT00000000114	ENSCAFP00000000098	404.0				True	
ENSCAFT00000000116	ENSCAFP00000000100	505.0				True	
ENSCAFT00000000116	ENSCAFP00000000100	505.0	CCDS11983			True	
ENSCAFT00000000117	ENSCAFP00000000101	332.0	CCDS11982			True	
ENSCAFT00000000117	ENSCAFP00000000101	332.0				True	
ENSCAFT00000000118						True	
ENSCAFT00000000118			CCDS11981			True	
ENSCAFT00000000118			CCDS45882			True	
ENSCAFT00000000120	ENSCAFP00000000104	210.0				True	
ENSCAFT00000000121	ENSCAFP00000000105	704.0				True	
ENSCAFT00000000122						True	
ENSCAFT00000000123	ENSCAFP00000000107	1669.0	CCDS45881			True	
ENSCAFT00000000123	ENSCAFP00000000107	1669.0				True	
ENSCAFT00000000124						True	
ENSCAFT00000000125	ENSCAFP00000000109	350.0				True	
ENSCAFT00000000126	ENSCAFP00000000110	1181.0				True	
ENSCAFT00000000126	ENSCAFP00000000110	1181.0	CCDS45880			True	
ENSCAFT00000000127	ENSCAFP00000000111	547.0				True	
ENSCAFT00000000128	ENSCAFP00000000112	593.0	CCDS11980			True	
ENSCAFT00000000128	ENSCAFP00000000112	593.0	CCDS74228			True	
ENSCAFT00000000128	ENSCAFP00000000112	593.0				True	
ENSCAFT00000000128	ENSCAFP00000000112	593.0	CCDS74227			True	
ENSCAFT00000000128	ENSCAFP00000000112	593.0	CCDS59324			True	
ENSCAFT00000000129	ENSCAFP00000000113	203.0				True	
ENSCAFT00000000131	ENSCAFP00000000114	803.0				True	
ENSCAFT00000000132	ENSCAFP00000000115	662.0				True	
ENSCAFT00000000134	ENSCAFP00000000117	1221.0				True	
ENSCAFT00000000134	ENSCAFP00000000117	1221.0	CCDS86675			True	
ENSCAFT00000000134	ENSCAFP00000000117	1221.0	CCDS11979			True	
ENSCAFT00000000134	ENSCAFP00000000117	1221.0	CCDS86676			True	
ENSCAFT00000000136						True	
ENSCAFT00000000137	ENSCAFP00000000119	948.0	CCDS45879			True	
ENSCAFT00000000137	ENSCAFP00000000119	948.0				True	
ENSCAFT00000000140	ENSCAFP00000000121	298.0				True	
ENSCAFT00000000141	ENSCAFP00000000122	801.0				True	
ENSCAFT00000000141	ENSCAFP00000000122	801.0	CCDS11977			True	
ENSCAFT00000000142	ENSCAFP00000000123	215.0				True	
ENSCAFT00000000143	ENSCAFP00000000124	544.0				True	
ENSCAFT00000000144						True	
ENSCAFT00000000145			CCDS11976			True	
ENSCAFT00000000149	ENSCAFP00000000129	407.0	CCDS32838			True	
ENSCAFT00000000149	ENSCAFP00000000129	407.0				True	
ENSCAFT00000000153	ENSCAFP00000000133	518.0				True	
ENSCAFT00000000153	ENSCAFP00000000133	518.0	CCDS11974			True	
ENSCAFT00000000154	ENSCAFP00000000134	160.0	CCDS11973			True	
ENSCAFT00000000154	ENSCAFP00000000134	160.0				True	
ENSCAFT00000000155						True	
ENSCAFT00000000155			CCDS11972			True	
ENSCAFT00000000157	ENSCAFP00000000137	146.0				True	P08989
ENSCAFT00000000157	ENSCAFP00000000137	146.0	CCDS45878			True	P08989
ENSCAFT00000000157	ENSCAFP00000000137	146.0	CCDS11971			True	P08989
ENSCAFT00000000157	ENSCAFP00000000137	146.0	CCDS45877			True	P08989
ENSCAFT00000000158	ENSCAFP00000000138	156.0	CCDS11970			True	
ENSCAFT00000000158	ENSCAFP00000000138	156.0				True	
ENSCAFT00000000158	ENSCAFP00000000138	156.0	CCDS77193			True	
ENSCAFT00000000159	ENSCAFP00000000139	1280.0				True	
ENSCAFT00000000160	ENSCAFP00000000140	634.0				True	
ENSCAFT00000000162	ENSCAFP00000000142	1317.0	CCDS11969			True	
ENSCAFT00000000162	ENSCAFP00000000142	1317.0				True	
ENSCAFT00000000163	ENSCAFP00000000143	394.0				True	
ENSCAFT00000000166	ENSCAFP00000000146	826.0	CCDS11968			True	
ENSCAFT00000000166	ENSCAFP00000000146	826.0				True	
ENSCAFT00000000166	ENSCAFP00000000146	826.0	CCDS11967			True	
ENSCAFT00000000169						True	
ENSCAFT00000000169			CCDS11966			True	
ENSCAFT00000000170						True	
ENSCAFT00000000173	ENSCAFP00000000152	1152.0				True	
ENSCAFT00000000176	ENSCAFP00000000155	209.0				True	
ENSCAFT00000000182	ENSCAFP00000000161	232.0				True	
ENSCAFT00000000182	ENSCAFP00000000161	232.0	CCDS2391			True	
ENSCAFT00000000182	ENSCAFP00000000161	232.0	CCDS2390			True	
ENSCAFT00000000183	ENSCAFP00000000162	316.0				True	
ENSCAFT00000000185	ENSCAFP00000000164	925.0				True	
ENSCAFT00000000188	ENSCAFP00000000167	453.0				True	
ENSCAFT00000000190	ENSCAFP00000000169	182.0				True	
ENSCAFT00000000197	ENSCAFP00000000176	1202.0				True	
ENSCAFT00000000198	ENSCAFP00000000177	193.0	CCDS8916			True	
ENSCAFT00000000198	ENSCAFP00000000177	193.0				True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS45873			True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0				True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS59323			True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS45872			True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS45875			True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS58632			True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS45876			True	
ENSCAFT00000000200	ENSCAFP00000000179	911.0	CCDS45874			True	
ENSCAFT00000000201	ENSCAFP00000000180	854.0				True	
ENSCAFT00000000201	ENSCAFP00000000180	854.0	CCDS8917			True	
ENSCAFT00000000201	ENSCAFP00000000180	854.0	CCDS55836			True	
ENSCAFT00000000202	ENSCAFP00000038837	350.0				True	
ENSCAFT00000000203	ENSCAFP00000000182	1250.0	CCDS11965			True	
ENSCAFT00000000203	ENSCAFP00000000182	1250.0				True	
ENSCAFT00000000206	ENSCAFP00000000185	1217.0				True	
ENSCAFT00000000207	ENSCAFP00000000186	559.0	CCDS32837			True	
ENSCAFT00000000207	ENSCAFP00000000186	559.0				True	
ENSCAFT00000000209	ENSCAFP00000000188	473.0	CCDS32836			True	
ENSCAFT00000000209	ENSCAFP00000000188	473.0				True	
ENSCAFT00000000209	ENSCAFP00000000188	473.0	CCDS11964			True	
ENSCAFT00000000210	ENSCAFP00000000189	504.0	CCDS42440			True	
ENSCAFT00000000210	ENSCAFP00000000189	504.0				True	
ENSCAFT00000000211	ENSCAFP00000000190	263.0			A2IBY8	False	A2IBY8
ENSCAFT00000000212	ENSCAFP00000000191	380.0	CCDS32834			True	
ENSCAFT00000000212	ENSCAFP00000000191	380.0				True	
ENSCAFT00000000213	ENSCAFP00000000192	254.0				True	
ENSCAFT00000000215						True	
ENSCAFT00000000216	ENSCAFP00000039938	156.0				True	
ENSCAFT00000000217	ENSCAFP00000000195	429.0				True	
ENSCAFT00000000220	ENSCAFP00000000198	1891.0				True	
ENSCAFT00000000221	ENSCAFP00000000199	1456.0				True	
ENSCAFT00000000221	ENSCAFP00000000199	1456.0	CCDS11962			True	
ENSCAFT00000000221	ENSCAFP00000000199	1456.0	CCDS11963			True	
ENSCAFT00000000223	ENSCAFP00000000201	1496.0	CCDS11963			True	
ENSCAFT00000000223	ENSCAFP00000000201	1496.0				True	
ENSCAFT00000000223	ENSCAFP00000000201	1496.0	CCDS11962			True	
ENSCAFT00000000224	ENSCAFP00000000202	527.0				True	
ENSCAFT00000000224	ENSCAFP00000000202	527.0	CCDS8924			True	
ENSCAFT00000000227	ENSCAFP00000000205	289.0				True	
ENSCAFT00000000227	ENSCAFP00000000205	289.0	CCDS11961			True	
ENSCAFT00000000230	ENSCAFP00000000207	215.0	CCDS31837			True	
ENSCAFT00000000230	ENSCAFP00000000207	215.0				True	
ENSCAFT00000000230	ENSCAFP00000000207	215.0	CCDS44925			True	
ENSCAFT00000000230	ENSCAFP00000000207	215.0	CCDS31837			True	
ENSCAFT00000000230	ENSCAFP00000000207	215.0				True	
ENSCAFT00000000230	ENSCAFP00000000207	215.0	CCDS44925			True	
ENSCAFT00000000231	ENSCAFP00000000208	418.0	CCDS44926			True	
ENSCAFT00000000231	ENSCAFP00000000208	418.0				True	
ENSCAFT00000000231	ENSCAFP00000000208	418.0				True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS11960			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58629			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS77192			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS86672			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58630			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58626			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58623			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58631			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS59321			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58627			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58624			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS77191			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS82255			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58628			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS58625			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS86671			True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0				True	
ENSCAFT00000000232	ENSCAFP00000000209	625.0	CCDS42438			True	
ENSCAFT00000000233	ENSCAFP00000000210	335.0				True	
ENSCAFT00000000233	ENSCAFP00000000210	335.0	CCDS11959			True	
ENSCAFT00000000235	ENSCAFP00000000212	347.0	CCDS8925			True	
ENSCAFT00000000235	ENSCAFP00000000212	347.0				True	
ENSCAFT00000000237						True	
ENSCAFT00000000237			CCDS11958			True	
ENSCAFT00000000238	ENSCAFP00000000214	498.0	CCDS74223			True	
ENSCAFT00000000238	ENSCAFP00000000214	498.0				True	
ENSCAFT00000000238	ENSCAFP00000000214	498.0	CCDS11956			True	
ENSCAFT00000000239	ENSCAFP00000000215	225.0				True	
ENSCAFT00000000239	ENSCAFP00000000215	225.0	CCDS11955			True	
ENSCAFT00000000241	ENSCAFP00000000217	313.0	CCDS8926			True	
ENSCAFT00000000242	ENSCAFP00000000218	673.0	CCDS11954			True	
ENSCAFT00000000242	ENSCAFP00000000218	673.0				True	
ENSCAFT00000000242	ENSCAFP00000000218	673.0	CCDS86670			True	
ENSCAFT00000000242	ENSCAFP00000000218	673.0	CCDS86669			True	
ENSCAFT00000000245	ENSCAFP00000000221	317.0				True	
ENSCAFT00000000245	ENSCAFP00000000221	317.0	CCDS41797			True	
ENSCAFT00000000247						True	
ENSCAFT00000000248	ENSCAFP00000000223	245.0	CCDS4128			True	
ENSCAFT00000000252	ENSCAFP00000000227	1039.0				True	
ENSCAFT00000000253	ENSCAFP00000000228	1041.0				True	
ENSCAFT00000000253	ENSCAFP00000000228	1041.0	CCDS8929			True	
ENSCAFT00000000254	ENSCAFP00000000229	1447.0				True	
ENSCAFT00000000254	ENSCAFP00000000229	1447.0	CCDS11952			True	
ENSCAFT00000000256	ENSCAFP00000000231	441.0				True	
ENSCAFT00000000256	ENSCAFP00000000231	441.0	CCDS31841			True	
ENSCAFT00000000256	ENSCAFP00000000231	441.0	CCDS44927			True	
ENSCAFT00000000259	ENSCAFP00000000234	719.0	CCDS56379			True	
ENSCAFT00000000259	ENSCAFP00000000234	719.0	CCDS56378			True	
ENSCAFT00000000259	ENSCAFP00000000234	719.0				True	
ENSCAFT00000000259	ENSCAFP00000000234	719.0	CCDS4126			True	
ENSCAFT00000000260	ENSCAFP00000000235	525.0				True	
ENSCAFT00000000260	ENSCAFP00000000235	525.0	CCDS81701			True	
ENSCAFT00000000260	ENSCAFP00000000235	525.0	CCDS8930			True	
ENSCAFT00000000261	ENSCAFP00000000236	599.0	CCDS4126			True	
ENSCAFT00000000261	ENSCAFP00000000236	599.0	CCDS56379			True	
ENSCAFT00000000261	ENSCAFP00000000236	599.0	CCDS56378			True	
ENSCAFT00000000261	ENSCAFP00000000236	599.0				True	
ENSCAFT00000000262	ENSCAFP00000000237	638.0	CCDS11951			True	
ENSCAFT00000000262	ENSCAFP00000000237	638.0				True	
ENSCAFT00000000266	ENSCAFP00000000241	486.0				True	
ENSCAFT00000000266	ENSCAFP00000000241	486.0	CCDS11950			True	
ENSCAFT00000000267	ENSCAFP00000000242	188.0				True	
ENSCAFT00000000267	ENSCAFP00000000242	188.0	CCDS47258			True	
ENSCAFT00000000267	ENSCAFP00000000242	188.0	CCDS47257			True	
ENSCAFT00000000267	ENSCAFP00000000242	188.0	CCDS68933			True	
ENSCAFT00000000268						True	
ENSCAFT00000000268			CCDS11949			True	
ENSCAFT00000000269	ENSCAFP00000000244	800.0	CCDS8931			True	
ENSCAFT00000000269	ENSCAFP00000000244	800.0				True	
ENSCAFT00000000269	ENSCAFP00000000244	800.0	CCDS53804			True	
ENSCAFT00000000270	ENSCAFP00000000245	581.0				True	
ENSCAFT00000000270	ENSCAFP00000000245	581.0	CCDS54187			True	
ENSCAFT00000000270	ENSCAFP00000000245	581.0	CCDS11948			True	
ENSCAFT00000000273	ENSCAFP00000000248	3050.0	CCDS75289			True	
ENSCAFT00000000273	ENSCAFP00000000248	3050.0	CCDS4125			True	
ENSCAFT00000000273	ENSCAFP00000000248	3050.0				True	
ENSCAFT00000000275			CCDS11947			True	
ENSCAFT00000000275						True	
ENSCAFT00000000275			CCDS45867			True	
ENSCAFT00000000275			CCDS45868			True	
ENSCAFT00000000275			CCDS45869			True	
ENSCAFT00000000276	ENSCAFP00000000251	296.0	CCDS11869			True	
ENSCAFT00000000276	ENSCAFP00000000251	296.0				True	
ENSCAFT00000000277	ENSCAFP00000000252	325.0	CCDS11868			True	
ENSCAFT00000000278	ENSCAFP00000000253	478.0	CCDS11868			True	
ENSCAFT00000000281	ENSCAFP00000000256	273.0				True	
ENSCAFT00000000281	ENSCAFP00000000256	273.0	CCDS11866			True	
ENSCAFT00000000283			CCDS34216			True	
ENSCAFT00000000283						True	
ENSCAFT00000000283			CCDS78050			True	
ENSCAFT00000000291	ENSCAFP00000054321	100.0	CCDS3681			True	
ENSCAFT00000000291	ENSCAFP00000054321	100.0	CCDS75177			True	
ENSCAFT00000000291	ENSCAFP00000054321	100.0	CCDS58921			True	
ENSCAFT00000000291	ENSCAFP00000054321	100.0				True	
ENSCAFT00000000292	ENSCAFP00000000263	584.0	CCDS5152			True	
ENSCAFT00000000292	ENSCAFP00000000263	584.0				True	
ENSCAFT00000000293	ENSCAFP00000000264	261.0	CCDS87441			True	
ENSCAFT00000000293	ENSCAFP00000000264	261.0	CCDS5153			True	
ENSCAFT00000000293	ENSCAFP00000000264	261.0				True	
ENSCAFT00000000295	ENSCAFP00000000266	4544.0				True	
ENSCAFT00000000295	ENSCAFP00000000266	4544.0	CCDS8932			True	
ENSCAFT00000000296	ENSCAFP00000000267	337.0	CCDS5156			True	
ENSCAFT00000000297	ENSCAFP00000000268	654.0	CCDS5159			True	
ENSCAFT00000000298			CCDS5163			True	
ENSCAFT00000000298						True	
ENSCAFT00000000299	ENSCAFP00000000270	132.0	CCDS5164			True	
ENSCAFT00000000299	ENSCAFP00000000270	132.0				True	
ENSCAFT00000000302			CCDS72860			True	
ENSCAFT00000000302			CCDS72859			True	
ENSCAFT00000000302						True	
ENSCAFT00000000305			CCDS8938			True	
ENSCAFT00000000309	ENSCAFP00000000278	1030.0	CCDS75288			True	
ENSCAFT00000000309	ENSCAFP00000000278	1030.0	CCDS47256			True	
ENSCAFT00000000309	ENSCAFP00000000278	1030.0				True	
ENSCAFT00000000312	ENSCAFP00000000281	152.0	CCDS59490			True	
ENSCAFT00000000313	ENSCAFP00000000282	502.0	CCDS8934			True	
ENSCAFT00000000313	ENSCAFP00000000282	502.0	CCDS55837			True	
ENSCAFT00000000313	ENSCAFP00000000282	502.0				True	
ENSCAFT00000000313	ENSCAFP00000000282	502.0	CCDS53805			True	
ENSCAFT00000000314	ENSCAFP00000000283	616.0	CCDS75521			True	
ENSCAFT00000000314	ENSCAFP00000000283	616.0				True	
ENSCAFT00000000314	ENSCAFP00000000283	616.0	CCDS5165			True	
ENSCAFT00000000314	ENSCAFP00000000283	616.0	CCDS43506			True	
ENSCAFT00000000314	ENSCAFP00000000283	616.0	CCDS75523			True	
ENSCAFT00000000319	ENSCAFP00000000288	87.0				True	
ENSCAFT00000000319	ENSCAFP00000000288	87.0	CCDS8935			True	
ENSCAFT00000000321			CCDS4124			True	
ENSCAFT00000000321						True	
ENSCAFT00000000323	ENSCAFP00000000292	963.0	CCDS81704			True	
ENSCAFT00000000323	ENSCAFP00000000292	963.0	CCDS8937			True	
ENSCAFT00000000323	ENSCAFP00000000292	963.0				True	
ENSCAFT00000000323	ENSCAFP00000000292	963.0	CCDS81703			True	
ENSCAFT00000000324	ENSCAFP00000000293	162.0	CCDS4123			True	
ENSCAFT00000000324	ENSCAFP00000000293	162.0	CCDS83021			True	
ENSCAFT00000000324	ENSCAFP00000000293	162.0				True	
ENSCAFT00000000325			CCDS4122			True	
ENSCAFT00000000325			CCDS64222			True	
ENSCAFT00000000325						True	
