enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENSCAFT00030030532		205	P62822	RAB1A
ENSCAFT00030030532		205	P62822	RAB1
		216	P62825	RAN
ENSCAFT00030032776		192	P62999	RAC1
ENSCAFT00000023383	ENSCAFP00000021714	128	P63050	UBA52
ENSCAFT00000023383	ENSCAFP00000021714	128	P63050	UBCEP2
ENSCAFT00000023383	ENSCAFP00000021714	128	P63050	B9
		394	P63091	GNAS
		394	P63091	GNAS1
ENSCAFT00000092290	ENSCAFP00000051306	179	P67811	SEC11A
ENSCAFT00000092290	ENSCAFP00000051306	179	P67811	SEC11L1
ENSCAFT00000092290	ENSCAFP00000051306	179	P67811	SPC18
ENSCAFT00000019074	ENSCAFP00000017681	975	P79143	ANPEP
ENSCAFT00000107710		389	P79250	HTR1B
		398	P80035	LIPF
		49	P81455	BGLAP
		207	P81546	TIMP1
		701	P82179	TRDN
ENSCAFT00000006727	ENSCAFP00000006228	1500	P83509	ARHGAP35
ENSCAFT00000006727	ENSCAFP00000006228	1500	P83509	GRLF1
ENSCAFT00000006727	ENSCAFP00000006228	1500	P83509	P190A
ENSCAFT00000006727	ENSCAFP00000006228	1500	P83509	p190ARHOGAP
		620	Q00589	SLC6A6
		2255	Q03396	L
ENSCAFT00000009854	ENSCAFP00000009149	274	Q06220	KITLG
ENSCAFT00000009854	ENSCAFP00000009149	274	Q06220	MGF
ENSCAFT00000099594		301	Q0X0E5	CYB5R3
ENSCAFT00000099594		301	Q0X0E5	C5BR
ENSCAFT00000099594		301	Q0X0E5	DIA1
ENSCAFT00000025219	ENSCAFP00000023411	221	Q1HE58	RAB27A
ENSCAFT00000030400	ENSCAFP00000028245	400	Q1HG70	MAP2K2
ENSCAFT00000030400	ENSCAFP00000028245	400	Q1HG70	MEK2
ENSCAFT00030033597		331	Q1M199	EPM2A
		1960	Q258K2	MYH9
		1691	Q28247	COL4A5
		333	Q28259	GAPDH
		333	Q28259	GAPD
ENSCAFT00030011773		444	Q28262	PLA2G7
		1159	Q28265	KCNMA1
		1159	Q28265	KCNMA
		521	Q28269	OCLN
ENSCAFT00030032483		389	Q28270	CD34
ENSCAFT00030032444		2208	Q28275	FN1
ENSCAFT00000007235	ENSCAFP00000006700	456	Q28278	PROC
		691	Q28279	CNGA1
		691	Q28279	CNCG
		691	Q28279	CNCG1
		58	Q28280	APP
		351	Q28284	CD44
		499	Q28293	KCNA2
ENSCAFT00030003901		359	Q28294	GNAQ
ENSCAFT00000083915	ENSCAFP00000065165	2813	Q28295	VWF
ENSCAFT00000083915	ENSCAFP00000065165	2813	Q28295	F8VWF
ENSCAFT00000017125	ENSCAFP00000015846	350	Q28300	GNAT1
		2333	Q28343	ACAN
		2333	Q28343	AGC1
		452	Q28350	MYC
		539	Q28923	YES1
		539	Q28923	YES
ENSCAFT00000048754	ENSCAFP00000040376	316	Q29471	ANXA13
ENSCAFT00000048754	ENSCAFP00000040376	316	Q29471	ANX13
		381	Q29537	TP53
		381	Q29537	P53
		438	Q29611	CLN3
ENSCAFT00000023685	ENSCAFP00000021988	483	Q2PT31	MYOC
		830	Q2Q421	ADGRE2
		830	Q2Q421	EMR2
ENSCAFT00000012470	ENSCAFP00000011554	715	Q2THW9	ZDHHC5
ENSCAFT00000008205	ENSCAFP00000007600	353	Q3LSL6	CXCR4
		505	Q4U3Q4	PPARG
		505	Q4U3Q4	NR1C3
		931	Q4VSN4	DSTYK
		931	Q4VSN4	RIPK5
ENSCAFT00000026621	ENSCAFP00000024727	458	Q4VUI0	RHBG
		249	Q4W1W1	HACD1
		249	Q4W1W1	PTPLA
ENSCAFT00000069717	ENSCAFP00000045002	152	Q50KA8	NME2
ENSCAFT00000069717	ENSCAFP00000045002	152	Q50KA8	NM23B
ENSCAFT00000002169	ENSCAFP00000002008	571	Q52S86	PODXL
ENSCAFT00000002169	ENSCAFP00000002008	571	Q52S86	PCLP
ENSCAFT00000002169	ENSCAFP00000002008	571	Q52S86	PCLP1
ENSCAFT00000021879	ENSCAFP00000020323	352	Q5ECR9	CCR5
ENSCAFT00000021879	ENSCAFP00000020323	352	Q5ECR9	CMKBR5
		462	Q5FBR4	RARA
		462	Q5FBR4	NR1B1
ENSCAFT00000035532	ENSCAFP00000030804	1032	Q5I2M8	TLR9
ENSCAFT00000008156	ENSCAFP00000007554	350	Q5JZQ9	CLN5
ENSCAFT00000008156	ENSCAFP00000007554	350	Q5JZQ9	BMPS
		365	Q5KSK8	CXCR3
ENSCAFT00000036612	ENSCAFP00000032015	98	Q5KSV9	CXCL10
		674	Q5PU49	PRKCD
		950	Q5QQ56	XYLT1
		503	Q5QQX7	CYP19A1
		503	Q5QQX7	CYP19
ENSCAFT00030009788		943	Q5R1P0	GRIN1
ENSCAFT00030009788		943	Q5R1P0	NMDAR1
ENSCAFT00000044471	ENSCAFP00000039796	1485	Q5R1P3	GRIN2B
ENSCAFT00000044471	ENSCAFP00000039796	1485	Q5R1P3	NMDA2B
ENSCAFT00845038086		737	Q5TJE1	DAXX
ENSCAFT00000001442	ENSCAFP00000001328	406	Q5TJF3	RING1
ENSCAFT00845036315		259	Q5TJF5	HSD17B8
ENSCAFT00000005518	ENSCAFP00000005112	1483	Q5U820	CFTR
ENSCAFT00000005518	ENSCAFP00000005112	1483	Q5U820	ABCC7
ENSCAFT00000095917		428	Q5WR10	DDX39B
ENSCAFT00000095917		428	Q5WR10	BAT1
ENSCAFT00000095917		428	Q5WR10	UAP56
ENSCAFT00030019567		469	Q5XFN2	DES
		458	Q60F97	HTR2C
ENSCAFT00000005507	ENSCAFP00000005103	359	Q659L1	FUT9
		785	Q689D1	TLR2
		92	Q68A92	CCL3
ENSCAFT00000031457	ENSCAFP00000029281	625	Q68CI2	DBH
ENSCAFT00030019193		840	Q697L1	TRPV1
		1123	Q6A548	TERT
ENSCAFT00000017092	ENSCAFP00000015815	972	Q6F3J0	NFKB1
ENSCAFT00000004025	ENSCAFP00000003719	1081	Q6JAN1	INVS
ENSCAFT00000004025	ENSCAFP00000003719	1081	Q6JAN1	INV
ENSCAFT00000004025	ENSCAFP00000003719	1081	Q6JAN1	NPHP2
ENSCAFT00000002101	ENSCAFP00000001945	242	Q6Q7I7	PDGFB
		1103	Q6QNF3	PDGFRB
		1103	Q6QNF3	PDGFR
		1103	Q6QNF3	PDGFR1
		466	Q6RH31	PSEN1
		382	Q6S9C0	GJA1
		458	Q6UKI2	AMN
ENSCAFT00000014953	ENSCAFP00000013840	375	Q6UKZ8	MSTN
ENSCAFT00000014953	ENSCAFP00000013840	375	Q6UKZ8	GDF8
ENSCAFT00040003892		1531	Q6UR05	ABCC1
ENSCAFT00040003892		1531	Q6UR05	MRP1
ENSCAFT00030007609		107	Q6URC2	HMGA1
ENSCAFT00030007609		107	Q6URC2	HMGIY
		218	Q6WIT9	HPRT1
		218	Q6WIT9	HPRT
ENSCAFT00000032360	ENSCAFP00000030134	408	Q6XPZ3	PLA2G15
ENSCAFT00000032360	ENSCAFP00000030134	408	Q6XPZ3	LYPLA3
		423	Q6XXX9	HTR1A
ENSCAFT00000023908	ENSCAFP00000022195	478	Q6Y4Q5	MMP3
ENSCAFT00000010639	ENSCAFP00000009862	215	Q6YKA4	HMGB1
		198	Q75W64	AICDA
		198	Q75W64	AID
		1382	Q75ZY9	MET
ENSCAFT00040009886		460	Q76HI7	TFAP2B
		495	Q76IQ3	TH
ENSCAFT00000022963	ENSCAFP00000021330	520	Q7YRB7	MAOB
		513	Q7YRJ7	SOX9
ENSCAFT00000028690	ENSCAFP00000026686	993	Q7YRU7	DSG3
		642	Q862Z3	UMOD
ENSCAFT00000049492	ENSCAFP00000037090	712	Q863A2	TBX2
ENSCAFT00000013260	ENSCAFP00000012270	294	Q863H1	SFRP2
		986	Q865S3	ARHGEF2
ENSCAFT00030045438		481	Q866G7	SLC46A2
ENSCAFT00030045438		481	Q866G7	TSCOT
ENSCAFT00000010288	ENSCAFP00000009539	730	Q867B7	HGF
		2255	Q88434	L
		944	Q8HYB7	TPO
		373	Q8HZM5	GLUL
ENSCAFT00000032279	ENSCAFP00000030061	603	Q8HZR1	PTGS1
ENSCAFT00000032279	ENSCAFP00000030061	603	Q8HZR1	COX1
		142	Q8I009	BIRC5
		350	Q8MJ44	PRKACA
		323	Q8MJ46	PPP1CC
ENSCAFT00000094747		327	Q8MJ47	PPP1CB
ENSCAFT00030046500		782	Q8MJD7	CNGB3
		277	Q8MKI5	CASP3
ENSCAFT00000073671	ENSCAFP00000058998	339	Q8MKI8	RAD51
		1929	Q8V736	ORF1
ENSCAFT00805012809		330	Q8WMS6	PPP1CA
		708	Q8WMX5	SLC15A1
		708	Q8WMX5	PEPT1
		4144	Q8WN22	PRKDC
ENSCAFT00030028693		169	Q95152	PDPN
ENSCAFT00030028693		169	Q95152	GP40
		1878	Q95153	BRCA1
		347	Q95158	GBGT1
		347	Q95158	FS
ENSCAFT00000028060	ENSCAFP00000026101	641	Q95165	SCNN1B
		809	Q95167	KCNB2
		1174	Q95168	TJP2
		1174	Q95168	ZO2
ENSCAFT00000004591	ENSCAFP00000004246	296	Q95JD5	SULT1B1
ENSCAFT00000004591	ENSCAFP00000004246	296	Q95JD5	ST1B2
ENSCAFT00000095044		218	Q95KM5	CLDN3
ENSCAFT00030041176		230	Q95KM6	CLDN2
ENSCAFT00000023758	ENSCAFP00000022051	532	Q95LA2	FMO1
ENSCAFT00000019982	ENSCAFP00000018535	342	Q95MM9	SLAMF1
ENSCAFT00000019982	ENSCAFP00000018535	342	Q95MM9	SLAM
		468	Q95N78	PPARA
		468	Q95N78	NR1C1
ENSCAFT00000008248	ENSCAFP00000007641	117	Q9BEF8	GHRL
ENSCAFT00000008248	ENSCAFP00000007641	117	Q9BEF8	MTLRP
		443	Q9GJU1	DRD2
ENSCAFT00000001770	ENSCAFP00000001630	333	Q9GL24	CTSL
ENSCAFT00000001770	ENSCAFP00000001630	333	Q9GL24	CTSL1
ENSCAFT00000024739	ENSCAFP00000022949	130	Q9GLF6	HCRT
ENSCAFT00000024739	ENSCAFP00000022949	130	Q9GLF6	OX
ENSCAFT00000024739	ENSCAFP00000022949	130	Q9GLF6	PPOX
ENSCAFT00000006379	ENSCAFP00000005906	939	Q9GLW0	PGR
ENSCAFT00000006379	ENSCAFP00000005906	939	Q9GLW0	NR3C3
		309	Q9GMZ1	UCP1
		309	Q9GMZ1	SLC25A7
		214	Q9MYV3	VEGFA
		214	Q9MYV3	VEGF
ENSCAFT00000017080	ENSCAFP00000015804	427	Q9MYY9	KCNJ2
ENSCAFT00000017080	ENSCAFP00000015804	427	Q9MYY9	IRK1
ENSCAFT00000021757	ENSCAFP00000020209	1551	Q9MZF4	DUOX1
ENSCAFT00000021757	ENSCAFP00000020209	1551	Q9MZF4	THOX1
ENSCAFT00000020333	ENSCAFP00000018866	976	Q9MZT1	CLCN1
		404	Q9MZV7	CASP1
		404	Q9MZV7	IL1BC
ENSCAFT00000039127	ENSCAFP00000034940	494	Q9MZY0	CYP2E1
ENSCAFT00000022229	ENSCAFP00000020642	1003	Q9N1T2	RPGR
		1597	Q9N281	COL17A1
		1597	Q9N281	BP180
		1597	Q9N281	BPAG2
		309	Q9N2J1	UCP2
		309	Q9N2J1	SLC25A8
ENSCAFT00000004976	ENSCAFP00000004614	271	Q9N2J4	AQP1
		58	Q9TS44	CCK
ENSCAFT00000039504	ENSCAFP00000035367	1158	Q9TSZ3	KCNH2
ENSCAFT00000039504	ENSCAFP00000035367	1158	Q9TSZ3	CERG
ENSCAFT00000039504	ENSCAFP00000035367	1158	Q9TSZ3	ERG
ENSCAFT00000017810	ENSCAFP00000016488	892	Q9TSZ6	DAG1
		907	Q9TT90	AR
		907	Q9TT90	NR3C4
		823	Q9TTY2	FER
ENSCAFT00000021553	ENSCAFP00000020013	595	Q9TU31	PTH1R
ENSCAFT00000021553	ENSCAFP00000020013	595	Q9TU31	PTH1
ENSCAFT00000021553	ENSCAFP00000020013	595	Q9TU31	PTHR1
		3620	Q9TU53	CUBN
		638	Q9TU69	GHR
ENSCAFT00000003647	ENSCAFP00000003376	444	Q9TUP7	HCRTR2
		1205	Q9TUX8	NOS3
		1205	Q9TUX8	NOS
ENSCAFT00000006229	ENSCAFP00000005770	335	Q9TV68	DHDH
ENSCAFT00000006229	ENSCAFP00000005770	335	Q9TV68	2DD
		533	Q9TVB8	RPE65
		191	Q9XS65	PTGDS
		563	Q9XSB8	TPP1
		563	Q9XSB8	CLN2
		1460	Q9XSJ7	COL1A1
		547	Q9XT74	SLC11A1
		547	Q9XT74	NRAMP1
ENSCAFT00805000525		210	A0A8C0N7E5	CLDN4
ENSCAFT00030009720		224	A0A8I3MKU8	TMEM147
ENSCAFT00030013571		563	A0A8I3NGV2	NCLN
ENSCAFT00000013697	ENSCAFP00000012670	495	A0A8J8	ANGPT2
ENSCAFT00000109479		594	A0PA85	GAD1
ENSCAFT00000109479		594	A0PA85	GAD67
ENSCAFT00000107658		604	A1E2V0	BIRC3
ENSCAFT00000004609	ENSCAFP00000004263	278	A1YQ91	ODAM
ENSCAFT00000004609	ENSCAFP00000004263	278	A1YQ91	APIN
ENSCAFT00000000211	ENSCAFP00000000190	263	A2IBY8	MIP
		436	B5RHS5	FOXI3
		1091	B9VTT2	DLC1
		1091	B9VTT2	ARHGAP7
		1091	B9VTT2	STARD12
		288	E2QRY6	NAXE
		288	E2QRY6	AIBP
		288	E2QRY6	APOA1BP
ENSCAFT00000017241	ENSCAFP00000015956	432	E2R222	TRIP13
ENSCAFT00000017241	ENSCAFP00000015956	432	E2R222	PCH2
		119	E2R4X3	DAD1
ENSCAFT00000037651	ENSCAFP00000033194	620	E2RA18	CLGN
		588	E2RBS6	SETD3
ENSCAFT00000075926	ENSCAFP00000045848	310	E2RDZ6	SIRT5
		378	E2RE76	APOA4
		452	E2RED8	AP4M1
ENSCAFT00030026901		576	E2RFJ3	SLC40A1
		1583	E2RP94	DNMBP
		1583	E2RP94	TUBA
ENSCAFT00000013898	ENSCAFP00000012859	631	F1PCT7	RPN2
		1930	F1PT61	MYH16
		478	F1PZV2	MFSD12
		287	O02771	SMN1
		287	O02771	SMN
ENSCAFT00000013961	ENSCAFP00000012917	382	O02813	NPY1R
		2343	O18806	F8
		651	O18835	GUSB
ENSCAFT00000030917	ENSCAFP00000028751	364	O18914	OPN1LW
ENSCAFT00000030917	ENSCAFP00000028751	364	O18914	RCP
		357	O19133	G6PC1
		357	O19133	G6PC
		357	O19133	G6PT
		240	O19177	UNC119
		240	O19177	RG4
		1366	O46392	COL1A2
		255	O46501	PRNP
		255	O46501	PRP
		265	O46612	IL1A
		521	O46634	ALCAM
		489	O62671	CYP2C41
ENSCAFT00845011461		446	O62729	NPY5R
ENSCAFT00845011461		446	O62729	NPY5
ENSCAFT00000021818	ENSCAFP00000020267	245	O77560	PDC
		295	O77621	ADRA1A
		295	O77621	ADRA1C
ENSCAFT00000001367	ENSCAFP00000001253	132	O77762	IL4
		356	O97571	CXCR2
		356	O97571	IL8RB
		435	O97578	CTSC
		3680	O97592	DMD
ENSCAFT00040018732		263	O97863	IL33
ENSCAFT00000025228	ENSCAFP00000023420	104	P01353	GAST
ENSCAFT00000025228	ENSCAFP00000023420	104	P01353	GAS
ENSCAFT00000042981	ENSCAFP00000038113	129	P02727	GYPA
		529	P04849	F
		523	P04865	N
		1441	P04875	GP
ENSCAFT00000007262	ENSCAFP00000006727	381	P05123	CKM
ENSCAFT00000029035	ENSCAFP00000026998	381	P05124	CKB
		246	P06871	PRSS1
		246	P06871	TRP1
		246	P06871	TRY1
		246	P06871	TRYP1
		248	P06908	SFTPA1
		248	P06908	SFTP1
		248	P06908	SFTPA
		303	P0C569	P
ENSCAFT00000045010	ENSCAFP00000039520	175	P0C8R9	ECSCR
ENSCAFT00000045010	ENSCAFP00000039520	175	P0C8R9	ECSM2
ENSCAFT00040014193		236	P0CAN6	CD79A
ENSCAFT00000009648	ENSCAFP00000008959	170	P10673	NTS
		377	P11614	HTR1D
		377	P11614	RDC4
		417	P11615	ADRA1B
		417	P11615	RDC5
ENSCAFT00000016346	ENSCAFP00000015121	326	P11616	ADORA1
ENSCAFT00000016346	ENSCAFP00000015121	326	P11616	RDC7
ENSCAFT00000045204	ENSCAFP00000038061	178	P12064	EDN2
		100	P12279	APOC3
		662	P12569	F
ENSCAFT00030007006		764	P14763	TSHR
		642	P15881	TCF4
		642	P15881	ITF2
		642	P15881	TFE
		110	P16255	SRP14
